Street Pair,Distance (km),Time (minutes),Weight
 Alum Rock Ave -  Berryessa Rd,4.961614979879659,3.7212112349097444,6.530725717266601e-06
 Alum Rock Ave -  Cherry Ave,14.745865390348053,11.059399042761038,1.9409245320045623e-05
 Alum Rock Ave -  Curtner Ave,15.210952566486823,11.408214424865116,2.0021416315638278e-05
 Alum Rock Ave -  E Gish Rd,7.314511948352728,5.4858839612645465,9.627726352019279e-06
 Alum Rock Ave -  Montague Expy,10.538325546241563,7.903744159681172,1.3871071000240456e-05
 Alum Rock Ave -  Monterey Rd,14.4205548289485,10.815416121711374,1.898105529360346e-05
 Alum Rock Ave -  N 1st St,11.463558878505308,8.59766915887898,1.5088909373832611e-05
 Alum Rock Ave -  N Bascom Ave,11.913571423959738,8.935178567969803,1.5681238386787003e-05
 Alum Rock Ave -  Oakland Rd,6.921808435005372,5.191356326254029,9.11083035257582e-06
 Alum Rock Ave -  O'Toole Ave,8.067783781684545,6.050837836263409,1.0619220402642283e-05
 Alum Rock Ave -  Park Ave,11.023430773980737,8.267573080485551,1.4509590756252142e-05
 Alum Rock Ave -  Parkmoor Ave,12.520195411670167,9.390146558752626,1.647970721061086e-05
 Alum Rock Ave -  S Bascom Ave,12.553101046105882,9.414825784579412,1.6523019251936868e-05
 Alum Rock Ave -  S Daniel Way,13.728068171573913,10.296051128680435,1.8069569730834165e-05
 Alum Rock Ave -  Saratoga Ave,18.39509367012146,13.796320252591096,2.4212542043297374e-05
 Alum Rock Ave -  Sierra Rd,3.079854366457462,2.3098907748430966,4.053858309849635e-06
 Alum Rock Ave -  Stevens Creek Blvd,17.49174034632028,13.118805259740212,2.302350323084407e-05
 Alum Rock Ave -  Story Rd,2.134918916740457,1.601189187555343,2.8100870241596267e-06
 Alum Rock Ave -  Terner Way,14.681317231768872,11.010987923826654,1.9324283806315776e-05
 Alum Rock Ave - 385A,7.860463431983997,5.895347573987998,1.0346334992348936e-05
 Alum Rock Ave - Airport Blvd,9.64589307266924,7.234419804501931,1.2696406756900889e-05
 Alum Rock Ave - Akron Way,15.309555863265519,11.482166897449138,2.015120290502324e-05
 Alum Rock Ave - Almaden Expy,14.452987227706009,10.839740420779506,1.9023744438468034e-05
 Alum Rock Ave - Alum Rock Ave,0.0,0.0,0.0
 Alum Rock Ave - Auzerais Ave,11.039141397793417,8.279356048345063,1.4530269864845585e-05
 Alum Rock Ave - Barber Ln,8.981245028190573,6.73593377114293,1.1821563768355842e-05
 Alum Rock Ave - Bay Trl,15.54371885198247,11.657789138986853,2.0459419938921925e-05
 Alum Rock Ave - Bayshore Fwy N,10.466043611317428,7.849532708488071,0.0001372647784733309
 Alum Rock Ave - Bayshore Fwy S,10.466043611317428,7.849532708488071,0.0002355095298527676
 Alum Rock Ave - Bernal Rd,18.328864394346546,13.74664829575991,2.412536775905864e-05
 Alum Rock Ave - Berryessa Rd,4.961614979879659,3.7212112349097444,2.2200746227471536e-05
 Alum Rock Ave - Bird Ave,9.910928996131526,7.433196747098645,6.782048712052803e-05
 Alum Rock Ave - Blossom Hill Rd,14.114013345439217,10.585510009079412,1.8577570065934367e-05
 Alum Rock Ave - Bonita Ave,5.782915541723001,4.337186656292251,7.6117625817929e-06
 Alum Rock Ave - CA-17 N,14.040881941672952,10.530661456254714,3.634131268553502e-05
 Alum Rock Ave - CA-17 S,14.397788684581108,10.798341513435831,2.147790127022387e-05
 Alum Rock Ave - CA-237,12.242816787992943,9.182112590994707,1.611460759719571e-05
 Alum Rock Ave - CA-237 E,12.242816787992943,9.182112590994707,1.611460759719571e-05
 Alum Rock Ave - CA-237 W,12.71556591630394,9.536674437227955,1.89684454556464e-05
 Alum Rock Ave - CA-85,17.705477036804858,13.279107777603643,2.3304834149694392e-05
 Alum Rock Ave - CA-85 N,16.167956159989377,12.125967119992032,2.411854860166415e-05
 Alum Rock Ave - CA-85 S,16.190597522942415,12.142948142206812,7.599056947393023e-05
 Alum Rock Ave - CA-87 N,12.899346878011931,9.674510158508948,1.6978765328183202e-05
 Alum Rock Ave - CA-87 S,8.982747973194876,6.737060979896157,1.1823542019717754e-05
 Alum Rock Ave - Capitol Expressway Auto Mall,12.909814540502538,9.682360905376903,1.6992543388936463e-05
 Alum Rock Ave - Charles Cali Dr,14.016782343833059,10.512586757874795,1.8449589760070264e-05
 Alum Rock Ave - Coleman Ave,10.400500988128641,7.80037574109648,1.3689659425624322e-05
 Alum Rock Ave - Coyote Rd,11.999816790180306,8.99986259263523,1.5794758850074827e-05
 Alum Rock Ave - Curtner Ave,15.210952566486823,11.408214424865116,2.0021416315638278e-05
 Alum Rock Ave - Davis St,11.384133918975365,8.538100439231524,1.4984366270851325e-05
 Alum Rock Ave - De la Cruz Blvd,10.959698712358545,8.219774034268909,1.4425703430141935e-05
 Alum Rock Ave - Delmas Ave,9.982341126150459,7.486755844612844,1.3139256507295541e-05
 Alum Rock Ave - Dipper Cir,5.343417902832588,4.007563427124441,7.033273814603393e-06
 Alum Rock Ave - Drake St,10.083555159374976,7.5626663695312315,1.3272479478527311e-05
 Alum Rock Ave - Duane St,8.905608694788487,6.679206521091365,1.1722007444515345e-05
 Alum Rock Ave - E Brokaw Rd,7.426741665863079,5.570056249397309,3.7135565014731856e-05
 Alum Rock Ave - E Capitol Expy,6.448904359728598,4.836678269796448,9.334789060707147e-06
 Alum Rock Ave - E Gish Rd,7.314511948352728,5.4858839612645465,9.627726352019279e-06
 Alum Rock Ave - E Reed St,7.965734918371341,5.974301188778506,1.0484898586306279e-05
 Alum Rock Ave - E Saint James St,4.546499189123334,3.4098743918425,5.984329557683588e-06
 Alum Rock Ave - Felipe Ave,6.065599470541337,4.549199602906003,7.983845303100035e-06
 Alum Rock Ave - Foss Ave,3.56833791782965,2.6762534383722376,4.696824784343277e-06
 Alum Rock Ave - Grant St,9.149314634293141,6.861985975719856,1.4444480478890298e-05
 Alum Rock Ave - Guadalupe Fwy N,11.827081279294353,8.870310959470766,2.3346658445327057e-05
 Alum Rock Ave - Guadalupe Fwy S,11.827081279294353,8.870310959470766,1.60818737695205e-05
 Alum Rock Ave - Guadalupe Pkwy,11.827081279294353,8.870310959470766,1.5567395733871194e-05
 Alum Rock Ave - Guadalupe Pkwy N,11.827081279294353,8.870310959470766,0.00017119700151778578
 Alum Rock Ave - Guadalupe Pkwy S,11.827081279294353,8.870310959470766,0.00011257311638664348
 Alum Rock Ave - Guadalupe River Trl,12.617951171840541,9.463463378880407,1.6608378229935115e-05
 Alum Rock Ave - Hamline St,9.989705328401886,7.4922789963014145,1.3148949638508982e-05
 Alum Rock Ave - Hellyer Ave,11.28320374507399,8.462402808805493,1.485151692945364e-05
 Alum Rock Ave - Herald Ave,6.028785460483372,4.521589095362529,7.935388862361237e-06
 Alum Rock Ave - Highway 87 Bikeway,11.85812446263673,8.893593346977548,1.5608256323945596e-05
 Alum Rock Ave - Hostetter Rd,5.597765766731068,4.198324325048301,7.368059190459767e-06
 Alum Rock Ave - I 280,13.008004512429805,9.756003384322353,1.7121785939485728e-05
 Alum Rock Ave - I-280,13.008004512429805,9.756003384322353,7.417489373100284e-05
 Alum Rock Ave - I-280 N,13.008004512429805,9.756003384322353,0.0007229296067816707
 Alum Rock Ave - I-280 S,12.88549449823797,9.664120873678478,0.001743687665116934
 Alum Rock Ave - I-680,4.0445237914006364,3.0333928435504776,1.1532959591178916e-05
 Alum Rock Ave - I-680 N,4.0445237914006364,3.0333928435504776,0.00030337265167632683
 Alum Rock Ave - I-680 S,3.6029677356890715,2.7022258017668035,0.00025160154217670534
 Alum Rock Ave - I-880,10.733730433265373,8.05029782494903,0.00010687575392402333
 Alum Rock Ave - I-880 N,10.733730433265373,8.05029782494903,0.002176639525909719
 Alum Rock Ave - I-880 S,10.290969794346166,7.718227345759624,0.0010301132127018082
 Alum Rock Ave - Junipero Serra Fwy N,13.008004512429805,9.756003384322353,0.00027388028300808143
 Alum Rock Ave - Junipero Serra Ln,16.334420612600052,12.250815459450038,2.1500181131334816e-05
 Alum Rock Ave - Lapa Dr,17.214361769515218,12.910771327136414,2.2658403679124405e-05
 Alum Rock Ave - Lawrence Expy,18.90061437761454,14.175460783210907,2.487793367453514e-05
 Alum Rock Ave - Lincoln Ave,10.831639193638598,8.123729395228949,1.4257145088626805e-05
 Alum Rock Ave - Lori Anne Ln,1.0901903492163711,0.8176427619122784,1.4349630471560484e-06
 Alum Rock Ave - Lower Guadalupe River Trl,12.617951171840541,9.463463378880407,1.6608378229935115e-05
 Alum Rock Ave - MacArthur Ave,12.696362388451924,9.522271791338943,1.6711586993799843e-05
 Alum Rock Ave - Matrix Blvd,8.752316255347955,6.5642371915109665,1.1520236271101745e-05
 Alum Rock Ave - McCreery Ave,4.99245205020738,3.7443390376555348,6.5713150110854635e-06
 Alum Rock Ave - McCreery Ct,4.93609113831712,3.7020683537378396,6.497129960809909e-06
 Alum Rock Ave - McKee Rd,0.4982480481540093,0.37368603611550694,6.558189933827147e-07
 Alum Rock Ave - McKendrie St,9.833438590533733,7.375078942900299,1.2943263544790025e-05
 Alum Rock Ave - McLaughlin Ave,6.326594832475167,4.7449461243563755,3.413514241861977e-05
 Alum Rock Ave - Meadowgate Way,6.453331144257627,4.83999835819322,8.494197118629101e-06
 Alum Rock Ave - Meridian Ave,11.411244968640233,8.558433726480175,7.808714932040511e-05
 Alum Rock Ave - Montague Expy,10.538325546241563,7.903744159681172,7.812060727428871e-05
 Alum Rock Ave - Monterey Rd,14.4205548289485,10.815416121711374,1.898105529360346e-05
 Alum Rock Ave - Moorpark Ave,14.883717990525778,11.162788492894332,2.1544181791286064e-05
 Alum Rock Ave - Morse St,11.040870140407964,8.280652605305972,1.4532545322311981e-05
 Alum Rock Ave - Muirfield Dr,3.4224310704775416,2.566823302858156,4.504774896516064e-06
 Alum Rock Ave - N 10th St,7.346456133249982,5.509842099937486,9.669772885390287e-06
 Alum Rock Ave - N 1st St,11.463558878505308,8.59766915887898,6.486941380374191e-05
 Alum Rock Ave - N 4th St,8.055675656796776,6.041756742597582,1.0603283083258755e-05
 Alum Rock Ave - N 5th St,7.886180200888492,5.914635150666369,1.0380184689419476e-05
 Alum Rock Ave - N Bascom Ave,11.913571423959738,8.935178567969803,7.99519778261938e-05
 Alum Rock Ave - N Capitol Ave,2.7445093496064756,2.0583820122048566,3.612460431419523e-06
 Alum Rock Ave - N Jackson Ave,3.5871709193785684,2.6903781895339263,4.72161372263204e-06
 Alum Rock Ave - N Monroe St,12.606249232480033,9.454686924360026,1.6592975552251845e-05
 Alum Rock Ave - Narvaez Ave,12.784807113555905,9.588605335166928,1.6828002363217958e-05
 Alum Rock Ave - Norman Y Mineta Hwy,16.167956159989377,12.125967119992032,2.8362637093661362e-05
 Alum Rock Ave - Norwalk Dr,15.963390855429553,11.972543141572165,2.520220331300941e-05
 Alum Rock Ave - O'Connor Dr,12.599886534073955,9.449914900555466,1.6584600650474842e-05
 Alum Rock Ave - Old Bayshore Hwy,8.752316255347955,6.5642371915109665,1.6121766542350933e-05
 Alum Rock Ave - Pamela Ave,3.2720925427174525,2.4540694070380895,4.306891809351847e-06
 Alum Rock Ave - Park Ave,11.023430773980737,8.267573080485551,1.4509590756252142e-05
 Alum Rock Ave - Parkmoor Ave,12.520195411670167,9.390146558752626,2.306219994829645e-05
 Alum Rock Ave - Paula Ct,11.4917010549552,8.6187757912164,1.5125951513584782e-05
 Alum Rock Ave - Peachwood Dr,5.217436987881298,3.9130777409109734,6.867451435298758e-06
 Alum Rock Ave - Race St,10.923437917847048,8.192578438385286,1.4377975159366178e-05
 Alum Rock Ave - Ridgetree Way,5.572658777625434,4.179494083219076,7.335012116049478e-06
 Alum Rock Ave - Rincon Cir,8.425933404437096,6.319450053327822,1.1090634843590327e-05
 Alum Rock Ave - S 10th St,8.124404540520617,6.093303405390462,5.9159882762936e-05
 Alum Rock Ave - S 11th St,7.580547024787492,5.685410268590619,4.090084147224092e-05
 Alum Rock Ave - S 1st St,8.947322705086204,6.710492028814653,1.1776913510569715e-05
